iter_max, absolute_result_exploration, absolute_result, score_strength_exploration, score_strength
500,0.7071067811865475,110,0.7071067811865475,128
500,0.7071067811865475,93,0.7071067811865475,114
500,0.7071067811865475,187,0.7071067811865475,54
500,0.7071067811865475,182,0.7071067811865475,90
500,0.7071067811865475,141,0.7071067811865475,160
500,0.7071067811865475,146,0.7071067811865475,89
500,0.7071067811865475,138,0.7071067811865475,90
500,0.7071067811865475,142,0.7071067811865475,77
500,0.7071067811865475,106,0.7071067811865475,129
500,0.7071067811865475,148,0.7071067811865475,96
500,0.7071067811865475,111,0.7071067811865475,88
500,0.7071067811865475,77,0.7071067811865475,273
500,0.7071067811865475,135,0.7071067811865475,108
500,0.7071067811865475,106,0.7071067811865475,139
500,0.7071067811865475,129,0.7071067811865475,134
500,0.7071067811865475,79,0.7071067811865475,194
500,0.7071067811865475,99,0.7071067811865475,150
500,0.7071067811865475,95,0.7071067811865475,152
500,0.7071067811865475,92,0.7071067811865475,146
500,0.7071067811865475,71,0.7071067811865475,202
500,0.7071067811865475,142,0.7071067811865475,111
500,0.7071067811865475,144,0.7071067811865475,115
500,0.7071067811865475,99,0.7071067811865475,229
500,0.7071067811865475,105,0.7071067811865475,78
500,0.7071067811865475,87,0.7071067811865475,121
500,0.7071067811865475,144,0.7071067811865475,88
500,0.7071067811865475,101,0.7071067811865475,123
500,0.7071067811865475,97,0.7071067811865475,161
500,0.7071067811865475,105,0.7071067811865475,114
500,0.7071067811865475,151,0.7071067811865475,84
500,0.7071067811865475,141,0.7071067811865475,90
500,0.7071067811865475,123,0.7071067811865475,118
500,0.7071067811865475,135,0.7071067811865475,172
500,0.7071067811865475,173,0.7071067811865475,57
500,0.7071067811865475,147,0.7071067811865475,74
500,0.7071067811865475,116,0.7071067811865475,193
500,0.7071067811865475,57,0.7071067811865475,167
500,0.7071067811865475,117,0.7071067811865475,128
500,0.7071067811865475,105,0.7071067811865475,132
500,0.7071067811865475,110,0.7071067811865475,181
500,0.7071067811865475,103,0.7071067811865475,144
500,0.7071067811865475,179,0.7071067811865475,59
500,0.7071067811865475,118,0.7071067811865475,113
500,0.7071067811865475,114,0.7071067811865475,142
500,0.7071067811865475,62,0.7071067811865475,168
500,0.7071067811865475,101,0.7071067811865475,149
500,0.7071067811865475,100,0.7071067811865475,217
500,0.7071067811865475,113,0.7071067811865475,115
500,0.7071067811865475,119,0.7071067811865475,114
500,0.7071067811865475,102,0.7071067811865475,197
500,0.7071067811865475,84,0.7071067811865475,213
500,0.7071067811865475,82,0.7071067811865475,200
500,0.7071067811865475,130,0.7071067811865475,151
500,0.7071067811865475,114,0.7071067811865475,101
500,0.7071067811865475,109,0.7071067811865475,101
500,0.7071067811865475,95,0.7071067811865475,148
500,0.7071067811865475,121,0.7071067811865475,114
500,0.7071067811865475,131,0.7071067811865475,209
500,0.7071067811865475,105,0.7071067811865475,149
500,0.7071067811865475,116,0.7071067811865475,130
500,0.7071067811865475,77,0.7071067811865475,188
500,0.7071067811865475,102,0.7071067811865475,123
500,0.7071067811865475,89,0.7071067811865475,131
500,0.7071067811865475,198,0.7071067811865475,206
500,0.7071067811865475,109,0.7071067811865475,95
500,0.7071067811865475,78,0.7071067811865475,118
500,0.7071067811865475,61,0.7071067811865475,254
500,0.7071067811865475,114,0.7071067811865475,120
500,0.7071067811865475,82,0.7071067811865475,189
500,0.7071067811865475,101,0.7071067811865475,139
500,0.7071067811865475,172,0.7071067811865475,122
500,0.7071067811865475,84,0.7071067811865475,222
